Start	End	Count
16.05	16.15	119
16.15	16.25	158
16.25	16.35	196
16.35	16.45	264
16.45	16.55	103
16.55	16.65	119
16.65	16.75	60
16.75	16.85	28
16.85	16.95	1407
16.95	17.05	800
17.05	17.15	207
17.15	17.25	228
17.25	17.35	157
17.35	17.45	372
17.45	17.55	131
17.55	17.65	161
17.65	17.75	293
17.75	17.85	261
17.85	17.95	317
17.95	18.05	204
18.05	18.15	313
18.15	18.25	220
18.25	18.35	205
18.35	18.45	202
18.45	18.55	246
18.55	18.65	158
18.65	18.75	305
18.75	18.85	160
18.85	18.95	430
18.95	19.05	223
19.05	19.15	249
19.15	19.25	246
19.25	19.35	132
19.35	19.45	154
19.45	19.55	128
19.55	19.65	291
19.65	19.75	290
19.75	19.85	147
19.85	19.95	303
19.95	20.05	159
20.05	20.15	229
20.15	20.25	371
20.25	20.35	183
20.35	20.45	97
20.45	20.55	54
20.55	20.65	26
20.65	20.75	259
20.75	20.85	163
20.85	20.95	183
20.95	21.05	245
21.05	21.15	113
21.15	21.25	121
21.25	21.35	208
21.35	21.45	224
21.45	21.55	170
21.55	21.65	150
21.65	21.75	99
21.75	21.85	58
21.85	21.95	91
21.95	22.05	105
22.05	22.15	103
22.15	22.25	102
22.25	22.35	129
22.35	22.45	213
22.45	22.55	255
22.55	22.65	500
22.65	22.75	428
22.75	22.85	332
22.85	22.95	287
22.95	23.05	293
23.05	23.15	408
23.15	23.25	257
23.25	23.35	162
23.35	23.45	159
23.45	23.55	202
23.55	23.65	198
23.65	23.75	329
23.75	23.85	450
23.85	23.95	228
23.95	24.05	279
24.05	24.15	194
24.15	24.25	500
24.25	24.35	255
24.35	24.45	112
24.45	24.55	77
24.55	24.65	201
24.65	24.75	200
24.75	24.85	137
24.85	24.95	140
24.95	25.05	297
25.05	25.15	336
25.15	25.25	263
25.25	25.35	223
25.35	25.45	131
25.45	25.55	145
25.55	25.65	303
25.65	25.75	392
25.75	25.85	233
25.85	25.95	274
25.95	26.05	130
26.05	26.15	128
26.15	26.25	284
26.25	26.35	189
26.35	26.45	197
26.45	26.55	169
26.55	26.65	169
26.65	26.75	299
26.75	26.85	283
26.85	26.95	126
26.95	27.05	191
27.05	27.15	180
27.15	27.25	172
27.25	27.35	273
27.35	27.45	224
27.45	27.55	239
27.55	27.65	202
27.65	27.75	188
27.75	27.85	176
27.85	27.95	192
27.95	28.05	188
28.05	28.15	217
28.15	28.25	141
28.25	28.35	95
28.35	28.45	128
28.45	28.55	172
28.55	28.65	135
28.65	28.75	109
28.75	28.85	129
28.85	28.95	133
28.95	29.05	133
29.05	29.15	272
29.15	29.25	277
29.25	29.35	197
29.35	29.45	101
29.45	29.55	311
29.55	29.65	291
29.65	29.75	85
29.75	29.85	150
29.85	29.95	185
29.95	30.05	128
30.05	30.15	104
30.15	30.25	161
30.25	30.35	152
30.35	30.45	86
30.45	30.55	110
30.55	30.65	121
30.65	30.75	112
30.75	30.85	120
30.85	30.95	238
30.95	31.05	192
31.05	31.15	163
31.15	31.25	118
31.25	31.35	121
31.35	31.45	123
31.45	31.55	172
31.55	31.65	127
31.65	31.75	101
31.75	31.85	129
31.85	31.95	164
31.95	32.05	274
32.05	32.15	121
32.15	32.25	191
32.25	32.35	212
32.35	32.45	315
32.45	32.55	264
32.55	32.65	256
32.65	32.75	403
32.75	32.85	180
32.85	32.95	212
32.95	33.05	231
33.05	33.15	105
33.15	33.25	211
33.25	33.35	57
33.35	33.45	185
33.45	33.55	137
33.55	33.65	271
33.65	33.75	244
33.75	33.85	215
33.85	33.95	260
33.95	34.05	191
34.05	34.15	156
34.15	34.25	204
34.25	34.35	184
34.35	34.45	115
34.45	34.55	159
34.55	34.65	124
34.65	34.75	212
34.75	34.85	318
34.85	34.95	343
34.95	35.05	252
35.05	35.15	233
35.15	35.25	312
35.25	35.35	170
35.35	35.45	166
35.45	35.55	261
35.55	35.65	136
35.65	35.75	217
35.75	35.85	248
35.85	35.95	272
35.95	36.05	315
36.05	36.15	318
36.15	36.25	173
36.25	36.35	173
36.35	36.45	173
36.45	36.55	207
36.55	36.65	295
36.65	36.75	165
36.75	36.85	172
36.85	36.95	291
36.95	37.05	136
37.05	37.15	232
37.15	37.25	153
37.25	37.35	198
37.35	37.45	212
37.45	37.55	239
37.55	37.65	297
37.65	37.75	235
37.75	37.85	277
37.85	37.95	189
37.95	38.05	187
38.05	38.15	117
38.15	38.25	92
38.25	38.35	66
38.35	38.45	77
38.45	38.55	225
38.55	38.65	217
38.65	38.75	160
38.75	38.85	200
38.85	38.95	103
38.95	39.05	114
39.05	39.15	106
39.15	39.25	176
39.25	39.35	305
39.35	39.45	188
39.45	39.55	266
39.55	39.65	237
39.65	39.75	199
39.75	39.85	198
39.85	39.95	149
39.95	40.05	186
40.05	40.15	160
40.15	40.25	186
40.25	40.35	98
40.35	40.45	136
40.45	40.55	174
40.55	40.65	212
40.65	40.75	191
40.75	40.85	178
40.85	40.95	140
40.95	41.05	131
41.05	41.15	131
41.15	41.25	100
41.25	41.35	97
41.35	41.45	207
41.45	41.55	150
41.55	41.65	183
41.65	41.75	140
41.75	41.85	182
41.85	41.95	157
41.95	42.05	204
42.05	42.15	175
42.15	42.25	157
42.25	42.35	186
42.35	42.45	184
42.45	42.55	191
42.55	42.65	219
42.65	42.75	212
42.75	42.85	176
42.85	42.95	207
42.95	43.05	202
43.05	43.15	248
43.15	43.25	197
43.25	43.35	122
43.35	43.45	191
43.45	43.55	224
43.55	43.65	191
43.65	43.75	233
43.75	43.85	218
43.85	43.95	224
43.95	44.05	143
44.05	44.15	143
44.15	44.25	131
44.25	44.35	158
44.35	44.45	218
44.45	44.55	270
44.55	44.65	224
44.65	44.75	206
44.75	44.85	311
44.85	44.95	269
44.95	45.05	233
45.05	45.15	252
45.15	45.25	234
45.25	45.35	276
45.35	45.45	255
45.45	45.55	200
45.55	45.65	309
45.65	45.75	319
45.75	45.85	149
45.85	45.95	130
45.95	46.05	246
46.05	46.15	187
46.15	46.25	150
46.25	46.35	308
46.35	46.45	211
46.45	46.55	169
46.55	46.65	175
46.65	46.75	167
46.75	46.85	257
46.85	46.95	362
46.95	47.05	366
47.05	47.15	387
47.15	47.25	277
47.25	47.35	421
47.35	47.45	274
47.45	47.55	283
47.55	47.65	311
47.65	47.75	234
47.75	47.85	250
47.85	47.95	184
47.95	48.05	260
48.05	48.15	216
48.15	48.25	197
48.25	48.35	282
48.35	48.45	217
48.45	48.55	275
48.55	48.65	343
48.65	48.75	241
48.75	48.85	337
48.85	48.95	241
48.95	49.05	280
49.05	49.15	406
49.15	49.25	371
49.25	49.35	249
49.35	49.45	312
49.45	49.55	394
49.55	49.65	235
49.65	49.75	128
49.75	49.85	410
49.85	49.95	259
49.95	50.05	201
50.05	50.15	257
50.15	50.25	178
50.25	50.35	368
50.35	50.45	141
50.45	50.55	277
50.55	50.65	175
50.65	50.75	252
50.75	50.85	256
50.85	50.95	252
50.95	51.05	266
51.05	51.15	271
51.15	51.25	132
